epoch,step,train_loss,val_loss
0,49,1.771796464920044,
0,99,1.8051574230194092,
0,124,,1.7280454635620117
1,149,1.439813256263733,
1,199,1.5929282903671265,
1,249,1.4527941942214966,
1,249,,1.5689209699630737
2,299,1.3043192625045776,
2,349,1.4160360097885132,
2,374,,1.5521879196166992
3,399,1.3968174457550049,
3,449,1.282362937927246,
3,499,1.2946441173553467,
3,499,,1.5329031944274902
4,549,1.1277533769607544,
4,599,0.7872246503829956,
4,624,,1.5158311128616333
5,649,0.8852458000183105,
5,699,1.1207689046859741,
5,749,1.0974228382110596,
5,749,,1.6288210153579712
6,799,1.0261991024017334,
6,849,1.1890445947647095,
6,874,,1.716040015220642
7,899,0.5904958248138428,
7,949,0.6622236967086792,
7,999,0.7600143551826477,
7,999,,1.88792085647583
8,1049,0.6909600496292114,
8,1099,0.7330392599105835,
8,1124,,1.993626594543457
9,1149,0.5404931902885437,
9,1199,0.5438236594200134,
9,1249,0.5039970874786377,
9,1249,,2.213771343231201
10,1299,0.48595863580703735,
10,1349,0.6861120462417603,
10,1374,,2.333146572113037
11,1399,0.4388030469417572,
11,1449,0.365737646818161,
11,1499,0.6435553431510925,
11,1499,,2.535367727279663
12,1549,0.39177775382995605,
12,1599,0.500454843044281,
12,1624,,2.7685370445251465
13,1649,0.34633868932724,
13,1699,0.35076093673706055,
13,1749,0.3579748272895813,
13,1749,,2.8132715225219727
14,1799,0.19012460112571716,
14,1849,0.519279956817627,
14,1874,,2.9855294227600098
15,1899,0.15964657068252563,
15,1949,0.19552965462207794,
15,1999,0.13365472853183746,
15,1999,,3.507716178894043
16,2049,0.12554921209812164,
16,2099,0.3102169632911682,
16,2124,,3.3955466747283936
17,2149,0.28445878624916077,
17,2199,0.15707756578922272,
17,2249,0.46560269594192505,
17,2249,,3.5535166263580322
18,2299,0.193661630153656,
18,2349,0.5662861466407776,
18,2374,,3.730194568634033
19,2399,0.1689538061618805,
19,2449,0.06514202803373337,
19,2499,0.12362165749073029,
19,2499,,4.446670055389404
20,2549,0.24629180133342743,
20,2599,0.19068145751953125,
20,2624,,4.088821887969971
21,2649,0.13176606595516205,
21,2699,0.05733232572674751,
21,2749,0.1261797398328781,
21,2749,,4.167201519012451
22,2799,0.310743123292923,
22,2849,0.072013720870018,
22,2874,,4.4729413986206055
23,2899,0.22150060534477234,
23,2949,0.07611282169818878,
23,2999,0.08421018719673157,
23,2999,,4.579957962036133
24,3049,0.032478488981723785,
24,3099,0.1468288004398346,
24,3124,,4.872925281524658
25,3149,0.16482047736644745,
25,3199,0.1742524355649948,
25,3249,0.17491768300533295,
25,3249,,4.780862331390381
26,3299,0.20324936509132385,
26,3349,0.39309191703796387,
26,3374,,5.1034770011901855
27,3399,0.12801142036914825,
27,3449,0.04750562831759453,
27,3499,0.06438083946704865,
27,3499,,5.184478282928467
28,3549,0.043843142688274384,
28,3599,0.12989994883537292,
28,3624,,5.3207106590271
29,3649,0.1698855459690094,
29,3699,0.07888267189264297,
29,3749,0.08576329797506332,
29,3749,,5.201134204864502
30,3799,0.012840468436479568,
30,3849,0.10686226189136505,
30,3874,,5.664402961730957
31,3899,0.04509356617927551,
31,3949,0.061537303030490875,
31,3999,0.04687808081507683,
31,3999,,5.707339763641357
32,4049,0.05641302093863487,
32,4099,0.08925711363554001,
32,4124,,5.637322425842285
33,4149,0.07687468081712723,
33,4199,0.14735174179077148,
33,4249,0.19944006204605103,
33,4249,,6.008689880371094
34,4299,0.04567187279462814,
34,4349,0.13180004060268402,
34,4374,,6.139683723449707
35,4399,0.019358865916728973,
35,4449,0.052933111786842346,
35,4499,0.07517644017934799,
35,4499,,5.998010635375977
36,4549,0.054850950837135315,
36,4599,0.10618054121732712,
36,4624,,6.199089527130127
37,4649,0.05385209992527962,
37,4699,0.2685697376728058,
37,4749,0.34077373147010803,
37,4749,,6.050599098205566
38,4799,0.07843727618455887,
38,4849,0.06020509451627731,
38,4874,,6.626245498657227
39,4899,0.06017373502254486,
39,4949,0.10131693631410599,
39,4999,0.00707450695335865,
39,4999,,6.347495079040527
40,5049,0.03570312634110451,
40,5099,0.08889482915401459,
40,5124,,6.891581058502197
41,5149,0.03673559054732323,
41,5199,0.07467586547136307,
41,5249,0.17722541093826294,
41,5249,,7.003793716430664
42,5299,0.10281013697385788,
42,5349,0.027039991691708565,
42,5374,,7.330809593200684
43,5399,0.002213740488514304,
43,5449,0.026920000091195107,
43,5499,0.14358052611351013,
43,5499,,7.3775410652160645
44,5549,0.23991429805755615,
44,5599,0.08327360451221466,
44,5624,,6.671806335449219
45,5649,0.12013689428567886,
45,5699,0.25471532344818115,
45,5749,0.270840048789978,
45,5749,,7.341378688812256
46,5799,0.010389555245637894,
46,5849,0.04326945170760155,
46,5874,,7.424469470977783
47,5899,0.012896905653178692,
47,5949,0.006328660994768143,
47,5999,0.22675392031669617,
47,5999,,7.735395431518555
48,6049,0.028625451028347015,
48,6099,0.003347193356603384,
48,6124,,7.673986434936523
49,6149,0.019591383635997772,
49,6199,0.0007601650431752205,
49,6249,0.002144248690456152,
49,6249,,7.920210361480713
