epoch,step,train_loss,val_loss
0,49,1.7951511144638062,
0,99,1.5671815872192383,
0,124,,1.5297061204910278
1,149,1.4281554222106934,
1,199,1.3050872087478638,
1,249,1.3439284563064575,
1,249,,1.3969603776931763
2,299,1.207323670387268,
2,349,1.2443122863769531,
2,374,,1.3152416944503784
3,399,1.1585923433303833,
3,449,1.161389946937561,
3,499,1.1896792650222778,
3,499,,1.2329500913619995
4,549,0.9877772331237793,
4,599,1.2701777219772339,
4,624,,1.231994867324829
5,649,0.9891536235809326,
5,699,1.0513957738876343,
5,749,0.8224167227745056,
5,749,,1.2117681503295898
6,799,1.0663819313049316,
6,849,0.9160997271537781,
6,874,,1.1793501377105713
7,899,1.1053621768951416,
7,949,0.7790631055831909,
7,999,0.711277961730957,
7,999,,1.1485075950622559
8,1049,0.6356545686721802,
8,1099,0.6727933883666992,
8,1124,,1.2360771894454956
9,1149,0.5878739953041077,
9,1199,0.5905324816703796,
9,1249,0.430737167596817,
9,1249,,1.1814923286437988
10,1299,0.48093029856681824,
10,1349,0.6163673400878906,
10,1374,,1.2270170450210571
11,1399,0.27157101035118103,
11,1449,0.40353870391845703,
11,1499,0.49648749828338623,
11,1499,,1.27223801612854
12,1549,0.2857736349105835,
12,1599,0.49348580837249756,
12,1624,,1.3998397588729858
13,1649,0.28991928696632385,
13,1699,0.3538229167461395,
13,1749,0.39449381828308105,
13,1749,,1.4532941579818726
14,1799,0.2773408591747284,
14,1849,0.2227269411087036,
14,1874,,1.55594801902771
15,1899,0.15558278560638428,
15,1949,0.13740158081054688,
15,1999,0.14272189140319824,
15,1999,,1.701707363128662
16,2049,0.09161631017923355,
16,2099,0.13812538981437683,
16,2124,,1.8203336000442505
17,2149,0.0869433656334877,
17,2199,0.07938920706510544,
17,2249,0.10863601416349411,
17,2249,,1.8542988300323486
18,2299,0.05983465909957886,
18,2349,0.0795014426112175,
18,2374,,2.0070760250091553
19,2399,0.050502318888902664,
19,2449,0.056704554706811905,
19,2499,0.03480478376150131,
19,2499,,2.1147468090057373
20,2549,0.04834476113319397,
20,2599,0.05163002014160156,
20,2624,,2.2228052616119385
21,2649,0.026909243315458298,
21,2699,0.029566340148448944,
21,2749,0.019710106775164604,
21,2749,,2.345903158187866
22,2799,0.015566532500088215,
22,2849,0.02085256017744541,
22,2874,,2.396191120147705
23,2899,0.01251071598380804,
23,2949,0.0065057710744440556,
23,2999,0.008658061735332012,
23,2999,,2.4682223796844482
24,3049,0.007024039980024099,
24,3099,0.0031798321288079023,
24,3124,,2.563835859298706
25,3149,0.007486448157578707,
25,3199,0.004967371467500925,
25,3249,0.006973252631723881,
25,3249,,2.6058812141418457
26,3299,0.003567794105038047,
26,3349,0.005174486432224512,
26,3374,,2.6723740100860596
27,3399,0.0024886110331863165,
27,3449,0.0028059498872607946,
27,3499,0.003539551515132189,
27,3499,,2.704688549041748
28,3549,0.001867236103862524,
28,3599,0.0038049775175750256,
28,3624,,2.756998300552368
29,3649,0.0033297541085630655,
29,3699,0.001645923126488924,
29,3749,0.0029088917654007673,
29,3749,,2.801478385925293
30,3799,0.001487599452957511,
30,3849,0.0024301987141370773,
30,3874,,2.8437745571136475
31,3899,0.0024107755161821842,
31,3949,0.0020023419056087732,
31,3999,0.002758088055998087,
31,3999,,2.881108045578003
32,4049,0.0009925306076183915,
32,4099,0.0011845720000565052,
32,4124,,2.913133382797241
